,City,Year,Name,Car model,Car Price,KM,Owner,Car Type,Car link
214,Pune,2018, Maruti Wagon R .,VXI AMT Automatic,"₹4,15,199","67,320 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2018-cars-pune-1030033324/
215,Pune,2018, Maruti Baleno,DELTA 1.2 K12 Manual,"₹5,94,099","41,816 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2018-cars-pune-1062841467/
216,Pune,2016, Hyundai Creta,1.6 CRDI SX PLUS AUTO Automatic,"₹9,29,799","1,13,700 km",1st Owner,Diesel,https://www.cars24.com/buy-used-hyundai-creta-2016-cars-pune-1062528649/
217,Pune,2017, Maruti Ciaz,ZETA 1.3 DDIS SHVS Manual,"₹7,00,199","69,038 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-ciaz-2017-cars-pune-1065514704/
218,Pune,2017, Renault Kwid,CLIMBER 1.0 AT Automatic,"₹4,31,699","30,100 km",1st Owner,Petrol,https://www.cars24.com/buy-used-renault-kwid-2017-cars-pune-1069582964/
219,Pune,2018, Maruti Vitara Brezza,VDI OPT Manual,"₹8,12,899","45,635 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-vitara-brezza-2018-cars-pune-1064825268/
220,Pune,2016, Volkswagen Ameo,HIGHLINE 1.2 Manual,"₹5,01,799","30,902 km",1st Owner,Petrol,https://www.cars24.com/buy-used-volkswagen-ameo-2016-cars-pune-1031743243/
221,Pune,2017, Honda City,ZX MT I-DTEC Manual,"₹8,74,699","50,334 km",2nd Owner,Diesel,https://www.cars24.com/buy-used-honda-city-2017-cars-pune-1061586260/
222,Pune,2020, Volkswagen Polo,HIGH LINE PLUS 1.0 Manual,"₹8,68,699","39,385 km",1st Owner,Petrol,https://www.cars24.com/buy-used-volkswagen-polo-2020-cars-pune-10667995711/
223,Pune,2015, Honda Amaze,1.2 VXMT I VTEC Manual,"₹5,09,799","35,785 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-amaze-2015-cars-pune-10688898719/
